MANAGE_NO,PARK_NM,PARK_SE,RDNMADR,LNMADR,LATITUDE,LONGITUDE,PARK_AR,MVM_FCLTY,AMSMT_FCLTY,CNVNNC_FCLTY,CLTR_FCLTY,ETC_FCLTY,APPN_NTFC_DATE,INSTITUTION_NM,PHONE_NUMBER,REFERENCE_DATE
41173-00048,평촌공원(9호),근린공원,,경기도 안양시 동안구 관양동 1589-2,37.3960577636,126.9578030512,29598.7,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00047,샘마을어린이공원(76호),어린이공원,,경기도 안양시 동안구 갈산동 1118-2,37.376659,126.966548,1653.3,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00046,갈산어린이공원(75호),어린이공원,,경기도 안양시 동안구 갈산동 1093,37.377411,126.961538,2492.3,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00045,흥안어린이공원(66호),어린이공원,,경기도 안양시 동안구 갈산동 1113-1,37.380527,126.968118,3223.2,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00044,솔향어린이공원(65호),어린이공원,,경기도 안양시 동안구 갈산동 1080,37.385549,126.953689,2871,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00043,민백어린이공원(64호),어린이공원,,경기도 안양시 동안구 귀인동 933-2,37.385673,126.969955,7536.9,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00042,꿈마을어린이공원(63호),어린이공원,,경기도 안양시 동안구 귀인동 932-3,37.385734,126.966924,4505.4,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00041,먹거리촌어린이공원(62호),어린이공원,,경기도 안양시 동안구 귀인동 927,37.385549,126.953689,3679.8,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00040,귀인어린이공원(61호),어린이공원,,경기도 안양시 동안구 귀인동 905,37.384511,126.961861,2003.7,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00039,무궁화어린이공원(60호),어린이공원,,경기도 안양시 동안구 신촌동 1061,37.385549,126.953689,2756.9,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00038,신기어린이공원(59호),어린이공원,,경기도 안양시 동안구 신촌동 1056-1,37.382127,126.956894,3743.6,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00037,신촌어린이공원(58호),어린이공원,,경기도 안양시 동안구 신촌동 1055-2,37.381207,126.954478,4448.6,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00036,럭키어린이공원(57호),어린이공원,,경기도 안양시 동안구 평안동 897-6,37.390741,126.968951,4452.4,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00035,대원어린이공원(56호),어린이공원,,경기도 안양시 동안구 평안동 898-5,37.389662,126.965377,2390.6,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00034,초원어린이공원(55호),어린이공원,,경기도 안양시 동안구 평안동 896-3,37.390902,126.964116,4815.6,,,,,,1989-12-30,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00065,상평촌어린이공원(103호),어린이공원,,경기도 안양시 동안구 평촌동 72-5,37.395312,126.976501,1500,,,,,,2007-10-22,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00064,벌말소공원(5호),소공원,,경기도 안양시 동안구 평촌동 75-17,37.3946553151,126.9770837831,500,,,,,,2007-10-22,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41171-00034,청원소공원(6호),소공원,,경기도 안양시 만안구 안양동 1415,37.4078936254,126.9181878484,1009.1,,,,,,2007-09-27,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00063,조일소공원(4호),소공원,,경기도 안양시 동안구 호계동 1027-18,37.370536,126.947693,1580.9,,,,,,2007-09-17,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00033,박달어린이공원(101호),어린이공원,,경기도 안양시 만안구 박달동 89-1,37.401111,126.9085280529,2718,,,,,,2007-02-05,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00062,동편공원(20호),근린공원,,경기도 안양시 동안구 관양동 1660,37.4099049124,126.9740262445,14840.4,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00061,초롱어린이공원(102호),어린이공원,,경기도 안양시 동안구 관양동 1702,37.4089473528,126.9731009426,1675.8,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00060,소능골소공원(2호),소공원,,경기도 안양시 동안구 관양동 1692,37.4077763463,126.9702887522,777,,,,,,2007-01-02,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00032,주접어린이공원(100호),어린이공원,,경기도 안양시 만안구 안양동 1396,37.391465,126.9332767909,3813.4,,,,,,2006-09-07,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00031,덕천1어린이공원(99호),어린이공원,,경기도 안양시 만안구 안양동 1387,37.395755,126.9290424266,3335,,,,,,2006-09-07,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00030,연현어린이공원(92호),어린이공원,,경기도 안양시 만안구 석수동 417-9,37.431056,126.900745,1512,,,,,,2006-08-28,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00029,솔개어린이공원(91호),어린이공원,,경기도 안양시 만안구 석수동 423-80,37.434332,126.901924,1564.5,,,,,,2006-08-28,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00059,금성어린이공원(98호),어린이공원,,경기도 안양시 동안구 호계동 533-17번지,37.373875,126.951141,1982.6,,,,,,2006-03-13,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00028,친목어린이공원(97호),어린이공원,,경기도 안양시 만안구 박달동 929-9,37.409093,126.885709,5644.1,,,,,,2005-12-27,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00027,한신어린이공원(90호),어린이공원,,경기도 안양시 만안구 박달동 42번지,37.404386,126.906675,1370,,,,,,2005-12-19,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00026,삼덕공원(16호),근린공원,,경기도 안양시 만안구 안양동 782-24,37.397381,126.916411,19434.6,,,,,,2005-12-07,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41171-00025,동산어린이공원(89호),어린이공원,,경기도 안양시 만안구 석수동 485-20,37.4265673328,126.9023798201,520,,,,,,2005-05-02,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00024,꽃메산어린이공원(133호),어린이공원,,경기도 안양시 만안구 석수동 787-5,37.408172,126.899852,5160,,,,,,2005-04-25,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00058,수풀내어린이공원(86호),어린이공원,,경기도 안양시 동안구 비산동 1164,37.4009157762,126.9306568852,1899.4,,,,,,2002-09-30,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00023,병목안시민공원(5호),체육공원,,경기도 안양시 만안구 안양동 산82-2,37.385288,126.907674,113141,,,,,,2001-12-07,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41173-00057,송암어린이공원(81호),어린이공원,,경기도 안양시 동안구 호계동 800-8,37.3659525867,126.9604705943,1504.8,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00056,호성어린이공원(80호),어린이공원,,경기도 안양시 동안구 호계동 805-14,37.3655661903,126.9619594332,1500.3,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00055,포도원어린이공원(79호),어린이공원,,경기도 안양시 동안구 호계동 813-8,37.3641554447,126.9626730159,1500.2,,,,,,2001-04-24,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00054,샘모루어린이공원(78호),어린이공원,,경기도 안양시 동안구 비산동 425-8,37.400544,126.940846,1500,,,,,,1999-01-07,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00053,어우리지어린이공원(77호),어린이공원,,경기도 안양시 동안구 비산동 455-3,37.4004533923,126.937327,1500,,,,,,1999-01-07,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00052,안말어린이공원(50호),어린이공원,,경기도 안양시 동안구 호계동 918-28,37.385238,126.950438,1625.4,,,,,,1998-03-12,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00022,한라비발디어린이공원(26호),어린이공원,,경기도 안양시 만안구 박달동 114-4,37.402229,126.902004,1710,,,,,,1997-10-15,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00043,동화소공원(16호),소공원,,경기도 안양시 만안구 안양동 1435,37.3919403075,126.9399603721,2110.4,,,,,,2010-02-04,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00042,어린이공원(113호),어린이공원,,경기도 안양시 만안구 안양동 1451,37.4137488375,126.9201498115,2434.5,,,,,,2010-01-13,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00041,소공원(22호),소공원,,경기도 안양시 만안구 안양동 1447,37.417611,126.9191393,1758.1,,,,,,2010-01-13,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00040,삼영어린이공원(112호),어린이공원,,경기도 안양시 만안구 안양동 1441,37.413021,126.9144610663,3396.7,,,,,,2009-12-02,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00069,호돌어린이공원(111호),어린이공원,,경기도 안양시 동안구 호계동 1292,37.3766187825,126.9566890134,2048.1,,,,,,2009-08-18,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00039,덕천2어린이공원(107호),어린이공원,,경기도 안양시 만안구 안양동 1388,37.3962460334,126.929872,1737,,,,,,2008-12-30,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00038,푸르미어린이공원(제108호),어린이공원,,경기도 안양시 만안구 안양동 1419,37.3885774471,126.9237194286,3809.5,,,,,,2008-12-12,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00037,하늘소공원(11호),소공원,,경기도 안양시 만안구 안양동 1426,37.384931,126.921966,1290,,,,,,2008-12-12,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00068,대륭소공원(9호),소공원,,경기도 안양시 동안구 관양동 224-21,37.3975637065,126.973997,1177.4,,,,,,2008-11-25,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00067,어린이공원(105호),어린이공원,,경기도 안양시 동안구 비산동 1178,37.3978707412,126.9383773416,2160.4,,,,,,2008-11-21,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00036,명학공원(22호),근린공원,,경기도 안양시 만안구 안양동 572,37.38414914,126.9325686,11313.9,,,,,,2008-05-28,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41171-00035,테크노벨리소공원(7호),소공원,,경기도 안양시 만안구 안양동 196-47,37.389027,126.936531,885.4,,,,,,2008-01-23,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00066,해오름공원(19호),문화공원,,경기도 안양시 동안구 관양동 1668,37.4104678889,126.970273661,40726.1,,,,,,2007-11-09,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00076,수명어린이공원(120호),어린이공원,,경기도 안양시 동안구 비산동 1196,37.400831,126.931102,3062.8,,,,,,2012-08-28,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00049,창박골체육공원(6호),체육공원,,경기도 안양시 만안구 안양동 1090-2,37.382725,126.902587,13891,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5017,2025-11-26
41171-00048,호암공원(31호),근린공원,,경기도 안양시 만안구 석수동 497-5,37.4261062127,126.9062796124,6521,,,,,,2012-06-29,경기도 안양시 공원관리과,031-8045-5289,2025-11-26
41171-00047,낙원소공원(48호),소공원,,경기도 안양시 만안구 안양동 1302,37.417125,126.920016,993.4,,,,,,2012-06-21,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00046,덕수소공원(33호),소공원,,경기도 안양시 만안구 석수동 865,37.433874,126.906241,216.4,,,,,,2012-03-22,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00075,오비즈소공원(34호),소공원,,경기도 안양시 동안구 관양동 1802-1,37.399262,126.969548,4385.2,,,,,,2011-12-15,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00045,삼막소공원(31호),소공원,,경기도 안양시 만안구 석수동 689번지,37.422699,126.912139,323.4,,,,,,2011-12-08,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41171-00044,삼막소공원(30호),소공원,,경기도 안양시 만안구 석수동 680-8번지,37.42269905,126.9121397,495,,,,,,2011-12-08,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00074,도담도담어린이공원(115호),어린이공원,,경기도 안양시 동안구 호계동 1288,37.3758711124,126.9590751296,3597.4,,,,,,2010-09-06,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00073,어린이공원(116호),어린이공원,,경기도 안양시 동안구 호계동 1303,37.3771338935,126.953762005,5522.8,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00072,소공원(26호),소공원,,경기도 안양시 동안구 호계동 1305,37.3769635817,126.9545108574,820.6,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00071,소공원(25호),소공원,,경기도 안양시 동안구 호계동 1304,37.3776106392,126.9545499604,642.4,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00070,소공원(24호),소공원,,경기도 안양시 동안구 호계동 1308,37.37329949,126.9543518,2158.8,,,,,,2010-09-01,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41171-00052,안양천 생태힐링공원(27호),문화공원,,경기도 안양시 만안구 석수동 583,37.416868,126.896803598,72839,,,,,,2022-01-25,경기도 안양시 공원관리과,031-8045-5517,2025-11-26
41171-00051,수리산 성지공원(2호),역사공원,,경기도 안양시 만안구 안양동 1151-6번지,37.371414,126.904694,16656,,,,,,2019-01-09,경기도 안양시 공원관리과,031-8045-5017,2025-11-26
41173-00086,덕현공원(34호),근린공원,,경기도 안양시 동안구 호계동 1330,37.372175,126.962246,11148.5,,,,,,2018-03-16,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00085,비봉산힐링공원(35호),근린공원,,경기도 안양시 동안구 비산동 산186-10번지,37.408538,126.930141,20527.3,,,,,,2018-02-13,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41173-00084,평촌소공원(65호),소공원,,경기도 안양시 동안구 평촌동 41-23,37.392608,126.978160,1240,,,,,,2017-05-04,경기도 안양시 공원관리과,031-8045-5021,2025-11-26
41173-00083,맑은내소공원(49호),소공원,,경기도 안양시 동안구 호계동 1316,37.366419,126.955071,820.2,,,,,,2016-08-05,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
41173-00082,포일공원(1호),근린공원,,경기도 안양시 동안구 평촌동 999,37.395337035,126.9816542432,638.4,,,,,,2016-06-09,경기도 안양시 공원관리과,031-8045-5015,2025-11-26
41171-00050,박달시장소공원(61호),소공원,,경기도 안양시 만안구 박달동 74-13,37.402921,126.912265,500,,,,,,2015-06-04,경기도 안양시 공원관리과,031-8045-5286,2025-11-26
41173-00081,내비산소공원(60호),소공원,,경기도 안양시 동안구 비산동122-3번지,37.409618,126.948027,304.4,,,,,,2015-04-28,경기도 안양시 공원관리과,031-8045-5022,2025-11-26
