PRKPLCE_NO,PRKPLCE_NM,PRKPLCE_SE,PRKPLCE_TYPE,RDNMADR,LNMADR,PRKCMPRT,FEEDING_SE,ENFORCE_SE,OPER_DAY,WEEKDAY_OPER_OPEN_HHMM,WEEKDAY_OPER_COLSE_HHMM,BASIC_TIME,BASIC_CHARGE,ADD_UNIT_TIME,ADD_UNIT_CHARGE,MONTH_CMMTKT,INSTITUTION_NM,PHONE_NUMBER,LATITUDE,LONGITUDE,REFERENCE_DATE
208-2-000047,우주타운옆 주차장,공영,노외,경기도 안양시 만안구 박달로416번길 19,,48,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.400551,126.898470,2026-04-17
208-2-000046,정우아트빌라 뒤 주차장,공영,노외,경기도 안양시 만안구 양화로151번길 5,경기도 안양시 만안구 박달동 14-16,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.405818,126.908111,2026-04-17
208-2-000045,박달1동 주민센터 앞 주차장,공영,노외,경기도 안양시 만안구 박달로497번길 28,경기도 안양시 만안구 박달동 103-1,23,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.403642,126.907937,2026-04-17
209-2-000007,평촌지하 주차장,공영,노외,경기도 안양시 동안구 시민대로 238,경기도 안양시 동안구 관양동 1591-5(우)14067,793,3,미시행,평일,10:00,18:00,30,200,,,,경기도 안양시,031-8045-5255,37.392294,126.958038,2026-04-17
209-2-000006,호계3동 노외 주차장,공영,노외,경기도 안양시 동안구 흥안대로94번길 18,,43,2,미시행,평일,10:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.368765,126.955553,2026-04-17
209-2-000005,스마트스퀘어지하 노외 주차장,공영,노외,경기도 안양시 동안구 부림로170번길 20,,170,2,미시행,평일+토요일+공휴일,09:00,18:00,30,400,,,,경기도 안양시,031-8045-5255,37.398722,126.964386,2026-04-17
209-2-000004,인덕원환승 주차장,공영,노외,경기도 안양시 동안구 안양판교로 23,,182,2,미시행,평일+토요일+공휴일,10:00,22:00,30,400,,,,경기도 안양시,031-8045-5255,37.400687,126.978495,2026-04-17
209-2-000023,구장터경로당 주차장,공영,노외,경기도 안양시 동안구 흥안대로94번길 23,경기도 안양시 동안구 호계동 970-12,6,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.368479,126.956052,2026-04-17
208-2-000040,율목복지회관 뒤 주차장,공영,노외,,경기도 안양시 만안구 안양동 971-6,11,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.392941,126.908130,2026-04-17
208-2-000039,양지초등학교 앞 주차장,공영,노외,경기도 안양시 만안구 병목안로 130번길69,,47,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.392245,126.904552,2026-04-17
208-2-000037,부흥파크 앞 주차장,공영,노외,,경기도 안양시 만안구 안양동 759-97,61,기타,미시행,평일+토요일+공휴일,00:00,23:59,30,0,,,,경기도 안양시,031-8045-5255,37.393665,126.910424,2026-04-17
