정류장번호,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명
GGB209000109,문화의거리,37.3916,126.9530667,2025-10-31,10067.0,31040,경기도 안양시,경기BIS
GGB209000110,안양우편물류센터,37.3881167,126.9472,2025-10-31,10032.0,31040,경기도 안양시,경기BIS
GGB209000111,인덕원초교.삼성아파트,37.3979333,126.9772667,2025-10-31,10179.0,31040,경기도 안양시,경기BIS
GGB209000112,평촌동행정복지센터.e편한세상아파트,37.39525,126.9760333,2025-10-31,10174.0,31040,경기도 안양시,경기BIS
GGB209000113,나눔초등학교.오뚜기식품.두산번체다임,37.39185,126.9745667,2025-10-31,10168.0,31040,경기도 안양시,경기BIS
GGB209000114,민백마을,37.3874167,126.9730167,2025-10-31,10163.0,31040,경기도 안양시,경기BIS
GGB209000115,부림마을,37.40505,126.9693833,2025-10-31,10154.0,31040,경기도 안양시,경기BIS
GGB209000116,인덕원역8번출구,37.4031333,126.9756167,2025-10-31,10173.0,31040,경기도 안양시,경기BIS
GGB209000117,경원여객안양차고지,37.3867333,126.9448667,2025-10-31,10018.0,31040,경기도 안양시,경기BIS
GGB209000118,효성티앤씨.진영레미콘,37.3849667,126.9432167,2025-10-31,10016.0,31040,경기도 안양시,경기BIS
GGB209000119,효성티앤씨.진영레미콘,37.3851833,126.94295,2025-10-31,10015.0,31040,경기도 안양시,경기BIS
GGB209000120,경원여객안양차고지,37.38655,126.9446167,2025-10-31,10019.0,31040,경기도 안양시,경기BIS
GGB209000121,한성병원.호계3동행정복지센터,37.3687167,126.9577833,2025-10-31,10098.0,31040,경기도 안양시,경기BIS
GGB209000122,호계사거리.호계전통시장.평촌어바인퍼스트1단지,37.37115,126.9575833,2025-10-31,10096.0,31040,경기도 안양시,경기BIS
GGB209000123,윌스기념병원.평촌어바인퍼스트정문,37.3733,126.9573333,2025-10-31,10094.0,31040,경기도 안양시,경기BIS
GGB209000124,평촌어바인퍼스트2단지.무궁화태영아파트,37.3773167,126.9553167,2025-10-31,10078.0,31040,경기도 안양시,경기BIS
GGB209000125,호계중학교.평촌트리지아3단지,37.3787167,126.9545667,2025-10-31,10071.0,31040,경기도 안양시,경기BIS
GGB209000126,평촌트리지아2단지.방축사거리,37.3820167,126.9527833,2025-10-31,10064.0,31040,경기도 안양시,경기BIS
GGB209000128,평촌시립도서관,37.3965333,126.9580833,2025-10-31,10099.0,31040,경기도 안양시,경기BIS
GGB209000129,농수산물시장,37.3812167,126.9675667,2025-10-31,10147.0,31040,경기도 안양시,경기BIS
